0,1,2,3,4,5,6,7,8
0.04233870967741935,0.2113491395330532,0.0,0.0,0.0,0.0,2.0,0.014340530697190424,0.11975195487836691
10.203629032258064,12.976313578063932,0.0,0.0,0.0,22.25,40.0,177.01664467816263,13.304760226255963
5.997983870967742,11.714361209783258,0.0,0.0,0.0,1.25,40.0,123.3978324290174,11.108457698034295
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.806451612903224,18.618629714187282,0.0,0.0,37.5,40.0,40.0,379.13163371488037,19.47130282530885
19.862903225806452,19.887901881576695,0.0,0.0,18.5,40.0,40.0,450.90017838561016,21.23441024341411
2.8669354838709675,2.7835076127384117,0.0,1.0,2.0,5.0,14.0,4.542719637282593,2.1313656742292237
0.75,1.8764893075134006,0.0,0.0,0.0,0.0,12.0,2.085848074921956,1.4442465422918471
0.004032258064516129,0.06343588959436304,0.0,0.0,0.0,0.0,1.0,0.00013007284079084286,0.011404948083653992
0.0907258064516129,0.4190353007228312,0.0,0.0,0.0,0.0,5.0,0.05098390813141074,0.22579616500598662
35.78024193548387,9.06553539856092,3.0,39.0,40.0,40.0,40.0,84.0014819012933,9.165232233898566
37.090725806451616,8.783239012627906,2.0,40.0,40.0,40.0,40.0,62.14865002973094,7.883441509247781
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16733870967741934,0.9288973446851813,0.0,0.0,0.0,0.0,8.0,0.22401795005202915,0.4733053454716407
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.018145161290322582,0.19507415605450656,0.0,0.0,0.0,0.0,3.0,0.002633975026014568,0.051322266376442965
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.63508064516129,0.7148491354212526,35.0,39.0,40.0,40.0,40.0,0.005198268173034209,0.07209901644983938
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7419354838709677,0.8396340495974433,0.0,0.0,1.0,1.0,4.0,0.6097814776274715,0.7808850604458197
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.94959677419355,13.225147450580872,0.0,40.0,40.0,40.0,40.0,199.4247389252267,14.121782427343465
