G04668	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G04/66/8		ERR1193900	L4	L4.3.3		Turkmenistan
G02041	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G02/04/1		ERR1465901	L4	L4.8	2006-01-01 00:00:00.000	Switzerland
G67149	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G67/14/9	PRJNA384785	SRR13888780	La2	La2		Spain
G24875	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G24/87/5		SRR5065482	L2	L2.2.1.1/Pacific_RD150	2011-01-01 00:00:00.000	Vietnam
G710574	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G71/05/74	PRJEB52390	ERR9899670	L4	L4.1	2019-11-08 00:00:00.000	France
G59367	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G59/36/7	PRJNA436454	SRR6824487	L2	L2.2.1/Asia_Ancestral3	2007-11-22 00:00:00.000	China
G31694	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G31/69/4			L1	L1.1.1	2012-11-05 00:00:00.000	Thailand
G723659	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G72/36/59			L2	L2.2.1/Central_Asia/CladeA		Georgia
G701653	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G70/16/53	PRJEB53138	ERR9786485	L4	L4.8	2013-05-27 00:00:00.000	The Gambia
G717204	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G71/72/04	PRJEB41199	ERR4813352	L4	L4.3		Peru
G752238	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G75/22/38	PRJNA736718	SRR14801958	L2	L2.2.1/Central_Asia	2018-11-22 00:00:00.000	Moldova
G705563	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G70/55/63	PRJEB41116	ERR4796332	L3	L3		India
G717878	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G71/78/78	PRJNA975605	SRR24710156	L2	L2.2.1/Central_Asia	2020-01-01 00:00:00.000	Kazakhstan
G42642	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G42/64/2	PRJEB39561	ERR11243582	L4	L4.2.1	2014-01-01 00:00:00.000	Georgia
G03019	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G03/01/9	PRJEB50999	ERR8773745;ERR8773744	L2	L2.2.1/Central_Asia		Georgia
G47811	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G47/81/1			L2	L2.2.1	2011-04-05 00:00:00.000	South Africa
G714910	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G71/49/10	PRJEB44577	ERR8975549	L4	L4.1.2		South Africa
G736956	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G73/69/56	PRJEB41239	ERR4827565	L4	L4.8		Germany
G737446	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G73/74/46	PRJEB41239	ERR4827591	L2	L2.2.1/Central_Asia/Central_Asia_outbreak		Germany
